                  epoch,      train/box_om_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),        val/box_om_loss,           val/cls_loss,           val/dfl_loss,       metrics/mAP50(B),    metrics/mAP50-95(B)
0,3.6074507122951687,3.0875650748361685,3.3613548292496804,0.0534058665443645,0.03983664882902901,3.9616754161424996,3.378517860286295,3.605646142891463,0.03565921482761513,0.0263868085206892
1,3.5450346877116083,3.0453173550975743,3.286581881602188,0.05099433075497978,0.03800262342770244,3.8838823026307336,3.2995044492576335,3.5335778789138135,0.037335527183483874,0.0275929380894403
2,3.5048068496139293,3.019414485426465,3.264692390247603,0.054538538094132824,0.041721446154567875,3.8229833684356866,3.241022199942361,3.4820465753232988,0.03740553977357797,0.02902541894411181
3,3.4667796062484055,2.9725979425835005,3.2240228413842162,0.06225687002026556,0.04480835348065642,3.779252368891335,3.1809825576129493,3.4608156801685066,0.038490119874733476,0.02855743408502468
4,3.3901100514803266,2.9191060341790673,3.162722478643209,0.058326661224174625,0.04334008512617735,3.7217216782727887,3.1294738599510143,3.375781173708167,0.041261109179355215,0.02831314822863707
5,3.340630072459597,2.8778842717117366,3.1382851810763412,0.05914742040436893,0.0443251059220038,3.6633570304627225,3.0863712047428877,3.3687822211126743,0.04177061602120412,0.029648737906178235
6,3.3191679299476817,2.8527097439375124,3.0529054161213254,0.05369831033476026,0.04166142233110541,3.6273767748377095,3.068519153873051,3.2819704266953527,0.03998997955533161,0.02929819921700581
7,3.25913318809897,2.7827953879339287,3.0009754924144003,0.0658502652130991,0.04292941419475695,3.578915776586641,3.0272761883125208,3.257197546045802,0.04299590246874289,0.02973688776619467
8,3.1935125051484077,2.7586917540378035,2.9488391533952787,0.06700765484753642,0.040327173847930886,3.514432719944694,2.9518020965983607,3.1956253438011974,0.043871678075855,0.029931416223591103
9,3.1624039252139746,2.706949444203653,2.954564593947511,0.07629835692284921,0.05720855193329583,3.4846408687035315,2.945549503986315,3.1633133360264205,0.04282393392500363,0.032426424725230496
10,3.1017902542577787,2.6668836116453107,2.8992606595171533,0.06568644165950455,0.043386454130966895,3.395560700405147,2.882199258896591,3.1005798096182526,0.045720999961744925,0.030635263300324508
11,3.0569840140535747,2.647455368092295,2.8466380677711514,0.07010652567647055,0.04731143214166443,3.360812252251414,2.8496737330145914,3.0615280667660443,0.047388597063370654,0.033587406238371656
12,3.0235678439230327,2.604827353853169,2.810391788628743,0.07208612035017854,0.04837965099270359,3.3048053009638947,2.830375568657777,3.020552197480478,0.045695292255970646,0.033167083102043506
